Genotype,Mean_Yield,IPCA1_Score,IPCA2_Score,ASV,PC1_Score,PC2_Score,Yield_Rank,Stability_Rank,Overall_Rank
G63,1679.2317416156316,-187.61993264886306,6.166657294190616,187.72124757029476,689.4362154570823,-120.73285757810741,2.0,2.0,2.0
G71,1652.3696790123456,135.7394669781346,104.48798134555445,171.297814175129,585.0231559766912,190.82811156697386,3.0,1.0,2.0
G49,1682.2774074074077,-308.72862196439866,-148.82124736082338,342.7260213145012,750.7982506038114,-229.52500591229975,1.0,4.0,2.5
G21,1437.9721481481479,421.83587768511524,-144.75285233722934,445.98082465744557,139.91450764741214,443.1554173530461,4.0,6.0,5.0
G43,1128.1479259259265,-107.95114093042446,175.58829846988505,206.1181685046949,-553.7245890781061,-170.7838888674272,9.0,3.0,6.0
G1,1234.7814320987652,-390.7471259000591,-40.53495930814677,392.84398853141397,-243.20025326374196,-415.4859138321871,7.0,5.0,6.0
G73,1278.5951481481477,471.7852559259913,-57.794207062453125,475.31200077331397,-228.9935950469944,453.49074872816584,6.0,7.0,6.5
G41,1319.9122962962963,289.91685321130666,-458.2513068066828,542.2601238944081,-34.676468177243535,305.2948825139329,5.0,8.0,6.5
G39,1207.257320987654,-651.5805200121363,19.683450131211945,651.877758685134,-275.30320631659356,-681.6385642718374,8.0,10.0,9.0
G17,1057.1499391464952,327.349887655335,544.2281856344939,635.0923294978248,-829.2740178023163,225.3970702997412,10.0,9.0,9.5
