Model,Test R²,Test RMSE
Ridge,0.8071980082475614,183.77096199507406
ElasticNet,0.802598252963682,185.95019009732553
Lasso,0.7969670622875743,188.58379885969185
Linear Regression,0.7964670953036146,188.81584913963545
Bayesian Ridge,0.7876832670509468,192.84715759696346
Gradient Boosting,0.7859184901671947,193.64697189960805
Random Forest,0.7795931623892195,196.48692787681702
KNN,0.7642151364464598,203.22591685631502
Hybrid (RF+XGB),0.7609102436689095,204.6452248763454
XGBoost,0.670796222457417,240.13393397233386
Decision Tree,0.6339494626281974,253.21629796192033
SVR,0.0865662857889693,399.9996849366097
