Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,Overfitting Gap,RMSE/MAE Ratio
Ridge,0.8169,0.8072,156.9376,183.771,128.5215,144.8445,0.0097,1.2687
ElasticNet,0.8088,0.8026,160.4009,185.9502,132.1859,144.5614,0.0062,1.2863
Lasso,0.8295,0.797,151.481,188.5838,124.7774,154.0109,0.0325,1.2245
Linear Regression,0.832,0.7965,150.3628,188.8158,123.6066,155.7813,0.0355,1.2121
Bayesian Ridge,0.7963,0.7877,165.5407,192.8472,137.2496,147.3646,0.0086,1.3086
Gradient Boosting,0.9691,0.7859,64.5267,193.647,51.9354,144.6263,0.1831,1.3389
Random Forest,0.9565,0.7796,76.4609,196.4869,61.6975,153.1963,0.177,1.2826
KNN,1.0,0.7642,0.0,203.2259,0.0,161.7558,0.2358,1.2564
Hybrid (RF+XGB),0.9803,0.7609,51.4459,204.6452,41.5154,158.112,0.2194,1.2943
XGBoost,1.0,0.6708,1.9875,240.1339,1.4525,181.4168,0.3292,1.3237
Decision Tree,1.0,0.6339,0.0,253.2163,0.0,210.0379,0.3661,1.2056
SVR,0.1398,0.0866,340.2064,399.9997,283.0134,344.0408,0.0532,1.1627
